gene_id,pLI,mis_z,lof_z,Num_coding_exons,LOEUF,Mis.OEUF,GTEx_mean_expression,Num_tissues_expressed,Num_paralogs,Num_interaction_partners,Num_transcript_isoforms,MetaLR_score,CADD_raw,DANN_score,Genic_phastCons100way,Genic_phastCons30way,sHet,GO_embryo_dev,Promoter_CpG_density,Promoter_phastCons100way,Exonic_phastCons100way,PPI_degree,Tissue_specificity_tau,Num_enhancers,H3K4me3,H2AZ,H3K27me3,H3K9ac,Presence_pathogenic_SNVs,CRISPR_HAP1_KO_qvalue,Percent_pathogenic_SNVs
ENSG00000170412,-0.68242261,-0.20279059,-0.14838297,-0.62089097,-0.10078223,0.0935464,-0.03711155,0.42378236,-0.24190265,-0.25214624,0.58744274,0.63284624,0.26330368,-0.31422579,0.16866833,0.28540985,1.64879777,0,0,0,0,-0.08602718,-0.12802331,1.02649802,0.54721231,0.37139872,1.05986727,0.59058663,0,0.45579937,0
ENSG00000162174,-0.68364578,-0.45137691,-0.78714006,-0.41715433,0.94332766,0.40079609,-0.04802605,0.42378236,-0.24190265,-0.25214624,0.35297159,2.06609394,-0.33049516,0.19464071,0.15233933,-0.65788861,-0.59304026,0,0,0,0,-0.69776,-0.14546142,0.18909083,0.18249703,0.11506075,1.01905698,0.27744667,0,0.45579937,0
ENSG00000072609,-0.68156672,0.33051351,0.7221705,0.70339719,-0.76836127,-0.33411196,-0.05581775,0.42378236,-0.24190265,-0.00966427,1.87703401,-0.51934798,-0.01942511,-0.1819574,0.13127591,-0.50955624,-0.62191069,0,0,0,0,0.72264183,-1.28601446,0.30766326,0.37810188,0.38411936,-0.70469286,0.21157623,1,0.45579937,0.02777778
ENSG00000144120,-0.65909464,-0.36227542,-0.57869689,-0.92649592,0.71537385,0.29284349,-0.05686057,0.42378236,-0.24190265,-0.25214624,-0.23320626,-0.86637435,-0.64103662,-0.77636941,0.05731617,-0.22900345,0,0,-0.38413765,-0.66881997,0.55435409,-0.69776,-0.77710835,0.74603284,0.28332302,0.2483007,0.20207988,0.16929381,0,0.45579937,0
ENSG00000185347,-0.64281553,-0.86640717,0.11400977,-0.21341769,-0.45492477,0.76202207,-0.05653919,0.42378236,-0.24190265,-0.25214624,1.40809173,-0.71963242,-1.11110334,-0.24373434,-2.41685137,-1.61426628,0,0,0,0,0,-0.69776,-0.74782339,0.73997329,0.85148469,0.76552927,0.91814565,0.94837274,0,0.45579937,0
ENSG00000177283,1.4795682,1.84885818,0.55781236,-0.92649592,-1.02684462,-1.62539106,-0.05622372,0.42378236,-0.24190265,-0.25214624,-0.81938411,1.33965971,0.54642685,0.63223331,0.54446687,0.56172659,0,0,2.97504736,3.84869532,1.36087567,-0.69776,-0.18415615,0.88565408,0.82581009,0.93504457,0.90526124,0.68238228,0,0.45579937,0
ENSG00000149548,-0.68372146,-0.50739932,-0.49674688,0.49966055,0.26353681,0.31775563,-0.06301411,0.42378236,-0.24190265,-0.25214624,-0.4676774,-0.79682733,-0.89522388,-0.80707439,-1.21854578,-0.85276347,-0.80551649,0,0,0,0,-0.69776,-0.00044539,0.63210516,0.23220509,0.46421277,0.38688329,0.24948844,0,0.45579937,0
ENSG00000221963,-0.42070468,-0.61112325,-1.08726035,-0.8246276,1.94673152,0.57102902,-0.05456869,0.42378236,-0.24190265,-0.17131892,-0.81938411,-1.30267945,-2.31081667,-1.54752678,-2.34028764,-2.55418309,-0.65243469,0,0,0,0,1.13743758,-0.58330903,0.73176103,0.29878975,0.34508458,-0.51191172,0.34724218,0,0.45579937,0
ENSG00000168672,-0.68271797,-0.14679925,-0.78538908,-0.92649592,1.06544578,0.04372212,-0.05040364,0.42378236,-0.24190265,-0.25214624,-0.58491297,-1.22197142,0.04767179,0.42106639,0.65726968,0.36995135,0,0,0,0,0,0.72264183,-0.51744377,0.68821362,0.64207113,0.55577678,0.44600666,0.56280432,0,0.45579937,0
ENSG00000116824,0.60653403,-0.55736357,0.07033703,-0.51902265,-0.61774893,0.5129007,-0.05871767,0.35680762,-0.24190265,-0.25214624,-0.70214854,-0.75754157,-2.20941798,-1.953478,-2.11563624,-2.19253559,1.43262707,0,0,0,0,-0.69776,0.57565541,-1.60855383,0.43091235,-1.23025038,0.10028209,-0.27357316,0,0.45579937,0
ENSG00000102743,-0.68372045,-0.53092516,-0.84723335,-0.41715433,0.91890404,0.52535677,-0.05904011,0.42378236,-0.24190265,-0.25214624,-0.4676774,1.38596223,0.4161899,0.26934913,0.87511448,0.58366848,-0.12378405,0,0.40400263,-1.5523628,0.53003729,-0.69776,0.47673099,-0.16731683,0.28817145,0.209444,-1.82896188,0.3041654,1,0.45579937,0.12244898
ENSG00000095981,-0.6834419,0.10033466,-0.78441688,-0.51902265,0.99421021,-0.25937555,-0.06483026,-2.32218163,0.00625261,-0.17131892,-0.35044183,-1.04676418,-0.81068629,0.33096759,-0.30318546,-0.49454765,-0.63394748,0,0,0,0,-0.69776,1.70599527,-1.60855383,-1.09854985,-1.18568237,1.29112461,-1.08434599,0,0.45579937,0
ENSG00000244731,-0.68372146,0.88203867,-1.06163189,3.14823685,1.05526927,-1.10223618,-0.05676434,0.42378236,0.00625261,-0.25214624,1.05638502,-0.77749851,-0.35253035,0.15905315,-0.76507365,-0.47769216,0,0,0,0,0,-0.69776,0.97006752,-1.60855383,-1.8022811,-1.8917221,-3.10047811,-0.8280678,1,0.45579937,0.03030303
ENSG00000187838,-0.66743633,0.03267749,-0.08877833,-0.31528601,-0.21068854,-0.18048711,-0.01340432,0.42378236,-0.24190265,0.63695433,0.58744274,-0.6819528,0.55353242,0.69549283,0.38150231,0.65061608,0,0,0.26326269,3.79895418,0.6393889,2.3880644,-0.63031142,0.88565408,0.61639164,0.65111654,0.31262955,0.60554523,0,0.45579937,0
ENSG00000274512,0,0,0,0,0,0,-0.05697226,0.42378236,-0.24190265,-0.25214624,-0.70214854,-1.04270128,-1.87313602,-1.13306161,-1.56073609,-2.53037011,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
ENSG00000129455,-0.68347909,0.05395094,-0.2639274,-0.51902265,0.05593602,-0.1970952,-0.05750909,-0.04504076,1.49518415,0.31364503,0.35297159,1.95700124,-0.48176769,-0.01789107,-1.03600893,-1.02872591,-0.75932083,0,-1.57948351,-0.12995768,-2.35420524,1.24138363,1.38857812,-0.60165605,-0.69264672,-0.0740845,1.20290047,-0.7143915,0,0.45579937,0
ENSG00000144048,-0.68371914,-0.27999324,-0.48010237,-0.11154937,0.33273708,0.19319494,-0.04826796,0.42378236,-0.24190265,-0.25214624,-0.35044183,-0.35244709,-1.07825552,-0.74216988,-0.90591919,-0.60325102,-0.74877373,0,-0.15679594,-1.24658237,0.30767997,-0.69776,-1.16770418,0.69951373,0.29634023,-0.02008915,-0.32109685,0.25565205,0,0.45579937,0
ENSG00000085377,-0.46392227,1.15527703,1.06574975,0.49966055,-1.0044563,-0.97352347,-0.03465929,0.42378236,-0.24190265,-0.25214624,-0.58491297,-0.41286638,1.21452557,0.80932204,1.04603844,0.91998225,0.27968691,0,0.47451728,-0.74693905,1.05506437,-0.69776,-0.77572691,0.54924303,0.52279181,0.59098775,0.41252534,0.49203679,0,0.45579937,0
ENSG00000174339,0,-0.87960308,0,-0.92649592,0,0.92395096,-0.06492345,-3.19285314,0.25440786,-0.25214624,-0.81938411,-1.13613872,-1.59894684,-0.92842807,-1.67349486,-1.09518847,-0.74898229,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,0.45579937,0
ENSG00000170142,1.2482655,0.93609606,0.06687579,-0.51902265,-0.72765523,-1.6876714,0.00615254,0.42378236,0.00625261,-0.25214624,0.35297159,0.52507812,0.47121033,0.00218135,0.40485653,0.42736231,0.87248413,0,0.97244275,1.05872787,-0.5213648,-0.69776,-1.2782195,0.91930838,0.7719846,0.54496669,-0.06411386,0.76515286,1,0.45579937,0.04545455
ENSG00000136738,1.64568434,-0.3807994,0.9326446,0.39779223,-1.13064502,0.25962731,-0.0401514,0.42378236,-0.24190265,-0.17131892,-0.35044183,-0.58585249,0.99396127,0.51729034,0.95886027,0.71886647,0.54466025,0,-0.28476077,-0.92932321,0.85649498,-0.08602718,-0.7271087,0.89288218,0.71586997,0.37343078,-0.89795002,0.58720469,0,0.45579937,0
ENSG00000205403,-0.68372136,-0.45317882,0.22833259,0.29592391,-0.33891256,0.31775563,-0.02828583,0.42378236,-0.24190265,-0.25214624,-0.11597069,1.41025607,-0.53355163,-0.73756425,-0.62937794,-0.632273,-0.78278364,0,0,0,0,-0.69776,0.73521169,-1.60855383,-0.60541046,0.46857517,0.04244719,-0.50635462,1,-0.13351469,0.09965636
ENSG00000197674,0,0,0,0,0,0,-0.06488452,-2.65705529,-0.24190265,-0.25214624,-0.81938411,-1.1624163,-2.18505014,0.39342743,-1.50129344,0.60361743,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
ENSG00000204849,0.35052617,-1.11904003,-0.69151814,-0.62089097,1.69028348,2.37715896,-0.06465965,-3.12587841,-0.24190265,-0.25214624,-0.70214854,-1.34673316,-2.30711216,-2.00775099,-2.62057075,-2.50285176,0,0,-2.34459357,-1.46244613,-4.98915843,-0.69776,2.33124566,-1.60855383,-4.63286126,-4.4740437,-2.79119652,-4.43031485,0,0.45579937,0
ENSG00000159733,-0.48558721,-0.80341789,0.91294606,0.29592391,-0.95967965,0.46307643,-0.05536185,0.42378236,-0.24190265,-0.25214624,0.35297159,-0.35519995,-0.14117117,0.30986711,0.0423127,-0.40566708,-0.35035287,0,0,0,0,-0.69776,-0.03365679,0.9467706,0.59105715,0.67883325,1.21245296,0.5999558,1,0.45579937,0.02158273
ENSG00000275740,0,0,0,0,0,0,0,0,-0.24190265,-0.25214624,-0.81938411,-0.42700529,0.78313404,0.58867019,0.85417108,0.88182877,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,1,-0.00653867,0
ENSG00000167535,-0.6829295,1.07589965,0.40149653,0.29592391,-0.57704289,-1.05241191,-0.03407429,0.42378236,-0.24190265,-0.09049159,1.87703401,1.08908247,1.21279979,0.94783275,0.8341805,1.09582794,-0.65332851,0,0,0,0,1.24138363,-0.14668638,0.69276876,0.74417025,0.5680995,0.58301326,0.69455822,0,0.45579937,0
ENSG00000261794,-0.68372146,-4.32463541,-3.12199775,0.90713383,2.1360146,4.17083283,-0.06399606,0.42378236,1.37110652,-0.25214624,-0.81938411,0,-1.75288256,-1.49377725,0.24243274,-2.5085649,0,0,-1.97829679,0.1200234,0.01151273,0,0.68343525,-1.60855383,-4.63286126,-4.4740437,-3.39749205,-4.43031485,1,-0.00653867,0.03703704
ENSG00000120925,0.71562564,0.49198665,0.32366947,-0.41715433,-0.82942033,-0.8323547,-0.05115394,0.42378236,-0.24190265,0.39447236,0.11850045,1.56920576,-0.11337662,-0.44492232,0.38432784,0.44216656,-0.64012975,0,3.07845433,-0.51736459,0.81138098,1.56592158,-0.99032889,0.94295145,0.78128114,0.65425948,-0.55237931,0.75398715,1,0.45579937,0.07352941
ENSG00000167117,0,0,0,0,0,0,-0.06423282,-2.85797948,-0.24190265,-0.25214624,-0.23320626,0,-2.38167653,-2.22699775,-0.38824356,-0.06462213,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
ENSG00000147571,1.27773639,0.24624301,-0.16965943,-0.92649592,-0.42235994,-0.58738535,-0.06350483,-1.85335851,-0.24190265,0.39447236,-0.81938411,-0.35095675,0.26522574,0.60990811,0.36612978,0.26085884,0,0,0.233034,2.41800001,-0.71788553,1.3343773,1.63372295,0.53322328,-0.01760428,-0.07684644,1.21470687,-0.49338963,0,0.45579937,0
ENSG00000171476,-0.68370668,-0.43953244,-1.50848852,-0.62089097,1.99964937,0.69974173,0.02608692,0.42378236,-0.24190265,-0.25214624,0.82191388,1.23399743,-0.38008776,-0.32390477,-0.19014861,-0.14647533,0.23398284,1,0,0,0,-0.08602718,-0.02397479,0.43072216,0.42179465,0.20158706,1.15745885,0.07556517,0,0.45579937,0
ENSG00000164244,-0.68372146,-0.59573577,-1.12505102,-0.21341769,1.11836363,0.49629261,-0.0469794,0.42378236,-0.24190265,-0.25214624,-0.23320626,-0.30267715,-0.02277761,-0.2908473,0.02593243,-0.03081815,-0.78875734,0,0.5234361,-1.24211842,-0.6131913,-0.69776,-0.95546182,-0.21882219,0.43232004,0.50163627,0.69267624,0.22245233,0,0.45579937,0
ENSG00000205809,-0.68372146,-0.81864095,-1.45369908,-0.41715433,1.79001327,1.05266367,-0.0640778,0.0889087,0.25440786,-0.25214624,-0.23320626,-1.045216,-2.24121073,-1.84061787,-2.4877681,-2.50771661,-0.58487669,0,0,0,0,-0.69776,0.76302032,-1.60855383,-1.68781758,-2.33342771,-0.96758826,-2.11139367,0,0.45579937,0
ENSG00000163348,1.96416721,0.24601,0.40281995,-0.72275928,-1.31178689,-0.3963923,-0.01337408,0.42378236,-0.24190265,-0.25214624,-0.58491297,-0.73317021,0.21400053,0.78878757,0.42971815,1.06183617,1.45679004,1,-0.04536966,1.53413833,0.36601961,-0.69776,-1.21974945,0.32376165,0.71190335,0.06341454,-0.99183408,1.0207697,1,0.45579937,0
ENSG00000143776,2.03628326,1.245062,2.57286649,2.63889526,-1.31178689,-0.68288187,-0.04315678,0.42378236,-0.24190265,-0.25214624,0.82191388,0.19526263,1.20335728,0.73590277,1.05888465,1.02283836,0.16489045,0,1.77742588,1.40978549,1.12934149,-0.69776,-0.83157325,0.75002638,0.71123129,0.55565445,0.65545884,0.69834097,1,0.45579937,0.04
ENSG00000244057,0.61790059,0.12192655,-0.51252608,-0.92649592,1.09597531,-0.59153737,-0.06490752,-2.92495422,1.86741704,0.15199038,-0.70214854,-1.40496936,-1.35698311,-4.89554112,-1.01748248,-1.26956473,0.07075617,0,-2.90980711,-1.19142073,1.15370135,2.73694292,2.09488432,-1.60855383,-4.63286126,-4.4740437,0.12228662,-4.43031485,0,0.45579937,0
ENSG00000169087,-0.68372146,0.41035689,-0.60918637,-0.21341769,0.43246688,-0.50849692,-0.05651757,0.42378236,-0.24190265,-0.17131892,-0.23320626,-0.61057707,-0.19080408,-0.527358,-0.19897718,-0.07478557,-0.75322794,0,0.97283067,0.11141436,0.46931431,-0.08602718,-0.78923916,0.88710929,0.6634158,0.64672468,-0.54351035,0.54305683,1,-0.57022722,0.04761905
ENSG00000071794,-0.68372146,0.18791384,-0.65365825,1.51834374,0.3530901,-0.18879116,-0.04216474,0.42378236,-0.24190265,-0.25214624,0.11850045,1.7494896,0.70224173,0.34588072,0.7521585,0.79797149,-0.81414187,0,0.99292554,-0.37802565,0.47298261,-0.69776,-0.84535991,0.84760486,0.30514962,0.36667359,-0.31376145,0.0799515,0,0.45579937,0
ENSG00000211716,0,0,0,0,0,0,-0.06439078,-1.1836112,3.23227096,-0.25214624,-0.81938411,0,0,0,0,0,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
ENSG00000146083,0.05699496,-0.3031152,0.51291801,-0.00968105,-0.86605576,0.20980304,-0.02367407,0.42378236,-0.24190265,0.55612701,0.00126488,-0.53809948,0.75355952,0.61853737,1.01763845,0.4284792,-0.57656415,0,0.41792682,0.93182421,0.7795346,1.49528275,-0.86839829,0.82139236,0.80146385,0.81168074,0.15515567,0.98626437,0,0.45579937,0
ENSG00000166407,1.05675946,-0.31559656,-0.01176568,-0.62089097,-0.59943121,0.32605968,-0.06347455,0.15588343,-0.24190265,3.70839269,-0.4676774,1.5030518,1.38949336,1.03939042,1.1200911,1.04255052,0.8936528,0,0.15652789,1.62564926,1.31870367,3.31189395,1.04997841,0.71269936,0.19274896,0.30203188,1.51984737,0.00566224,1,0.45579937,0.04
ENSG00000179776,0.72173345,-0.20702354,0.98222181,0.09218727,-1.06551535,0.08524235,-0.03335414,0.42378236,-0.24190265,-0.25214624,0.11850045,0.22972014,-0.16581648,0.05222835,-0.40649674,-0.12801983,-0.60477911,0,0,0,0,-0.69776,0.03362748,-0.42435015,0.09110307,0.4811909,1.1358197,0.29602553,0,0.45579937,0
ENSG00000066405,-0.68321065,-0.13754892,-0.64363083,-0.51902265,0.70316203,0.03126605,-0.0499131,0.42378236,-0.24190265,-0.09049159,-0.58491297,2.05773839,0.53403595,0.66423086,0.76172529,0.85088061,-0.61596678,0,-1.57148738,-0.37611252,0.60850584,0.27181181,1.78104419,-0.64772916,-0.89019649,-1.11813988,0.48146038,-0.90541542,0,0.45579937,0
ENSG00000198954,-0.47643371,0.51761731,0.61095262,-0.31528601,-0.84773805,-0.53340905,-0.04508381,0.42378236,-0.24190265,-0.17131892,1.40809173,-0.52110472,0.68317065,0.30125499,0.76443469,0.75236068,0,0,-0.01054821,-0.0798977,0.56774688,-0.69776,-0.81156493,0.50630462,0.47247432,0.23297346,-1.35320314,0.48082586,1,-0.67689823,0.09090909
ENSG00000237515,1.7075294,0.78075874,0.48879111,-0.51902265,-1.06348005,-0.90709111,-0.06331947,0.35680762,-0.24190265,-0.25214624,-0.35044183,-0.41407045,0.39718269,0.35772841,0.78826675,0.74396683,0,0,1.29293684,3.57193055,-0.72997393,-0.69776,0.23720174,0.23011684,0.27952995,0.13734516,1.24643534,0.15443817,1,-0.00653867,0.03448276
ENSG00000142347,-0.68372081,0.75823483,1.33099293,1.8239487,-0.85587925,-0.48358478,-0.04186974,0.42378236,-0.24190265,-0.09049159,1.64256287,1.9936788,0.93568705,0.71393134,0.72055634,0.57150712,-0.71625353,0,0,0,0,0.52570211,-0.06256887,-0.21882219,0.26477523,-0.43092942,0.46997087,-0.07198972,1,0.45579937,0
ENSG00000132199,-0.68372146,-0.81766232,-1.08778667,0.49966055,0.85580968,0.69558971,-0.03832946,0.42378236,-0.24190265,-0.25214624,1.64256287,-0.3522179,0.14067621,-0.17500519,0.43289211,0.25804936,-0.76766316,0,0,0,0,-0.69776,-0.76539473,0.46635826,0.32583298,0.32301232,-0.13811663,0.38919366,1,0.45579937,0.02484472
ENSG00000133193,-0.01024578,-0.626098,-0.18635484,-0.62089097,-0.1720178,0.74126196,-0.03822616,0.42378236,-0.24190265,-0.09049159,-0.11597069,-0.49618696,0.3222103,0.56998853,0.55234363,0.60532712,1.5726144,0,0.96333978,-0.71505371,-0.93748109,0.27181181,-0.48368701,1.08011081,0.62811957,0.44388494,-1.15261227,0.77620488,0,0.45579937,0
ENSG00000105695,0.66459936,0.27164066,0.82651679,-0.11154937,-1.02480931,-0.28013566,-0.01513497,0.42378236,-0.24190265,-0.25214624,0.00126488,-0.18673331,0.52440149,0.76302607,0.85869234,0.73805039,-0.70762816,0,-1.68849474,-0.08755018,0.04052276,-0.69776,0.6352706,-1.60855383,-0.56251142,-0.75170789,0.9845868,-0.39950047,1,0.45579937,0.03508772
ENSG00000167311,-0.68246711,-1.0737126,-0.42787833,-0.62089097,0.30424285,1.16476829,-0.06191764,0.28983289,0.00625261,-0.25214624,-0.35044183,-0.82254436,-0.01580369,0.25169673,-1.19783523,0.25852098,-0.74122094,0,0,0,0,-0.08602718,1.04992214,0.61889297,0.13740319,0.29812882,0.98445519,0.10210888,0,0.45579937,0
ENSG00000143479,-0.68371164,-0.46519417,-0.43851656,-0.72275928,0.28388983,0.32605968,-0.0599794,0.42378236,-0.24190265,-0.25214624,-0.23320626,-0.26453861,0.16364113,-0.27752406,0.60080967,0.60226232,-0.75418135,0,0,0,0,-0.08602718,0.06864807,0.9378068,0.41986596,0.56774997,0.36456359,0.50418669,0,0.45579937,0
ENSG00000122566,2.04786893,1.72210292,0.97015836,0.09218727,-1.44408151,-2.14024189,0.53706831,0.42378236,-0.24190265,-0.09049159,4.80792328,1.5649115,1.11665027,0.56568365,1.10396002,1.10829439,2.35928147,0,3.2974444,1.34314513,1.33578214,0.88354728,-1.25738501,0.71485882,1.17623878,0.4841448,-0.60045896,1.15921576,1,-2.3448007,0.01470588
ENSG00000100365,-0.68372121,-0.7858803,-0.6474891,-0.21341769,0.55051439,0.75371803,-0.02707106,0.42378236,-0.24190265,-0.25214624,-0.11597069,-0.33320897,-0.46669611,0.48364798,0.08649793,-0.34897527,0,0,0,0,0,-0.69776,0.10227714,-0.01787323,-0.27291345,0.11980689,1.15898266,-0.12819457,1,0.45579937,0.03225806
ENSG00000050327,-0.68372146,0.5288016,-0.29838713,0.39779223,0.11292447,-0.47112871,-0.05853589,0.42378236,-0.24190265,1.20274561,-0.4676774,0.06923923,-1.33943522,-0.79869473,-1.39839718,-1.16931922,0,0,0,0,0,1.90083826,-0.20522034,-1.1281415,-1.08590355,-2.42500371,-2.27151168,-1.52661161,0,0.45579937,0
ENSG00000183978,-0.50635379,-0.75635845,-0.6862601,-0.8246276,1.23437584,1.28517695,0.03907644,0.42378236,-0.24190265,-0.25214624,-0.70214854,-0.17762259,0.7840699,0.72046061,0.31163802,-0.02728222,-0.78914467,0,-0.53533835,0.88080767,-1.81686816,-0.69776,-0.85157338,-1.60855383,0.22326447,0.05010537,-0.02536981,0.16825459,1,-2.07008669,0.16666667
ENSG00000145248,-0.60726695,0.16531226,-0.25410358,-0.72275928,0.00912407,-0.28428768,-0.06337576,0.42378236,-0.24190265,0.15199038,-0.70214854,-0.93461764,0.04194569,0.27197879,0.14830605,-0.14169218,-0.76889961,0,1.1827202,0.61265194,-0.18670357,0.88354728,0.72697287,0.18186273,0.10941955,0.10231154,1.24963838,-0.44235571,0,0.45579937,0
ENSG00000260170,-0.68372129,-0.3715879,-0.91426948,-0.51902265,0.99624551,0.33436372,0,0,0.00625261,-0.25214624,-0.81938411,-0.36659882,0.68642202,0.54750145,0.55493571,0.51273945,0,0,0,0,0,-0.69776,-0.70472154,0.63470036,0.54775711,0.52959293,0.21917551,0.61518442,0,-0.00653867,0
ENSG00000239961,-0.68372146,-0.9958653,-1.18048333,-0.21341769,1.05933987,0.82845444,-0.06375801,0.35680762,1.37110652,-0.25214624,-0.58491297,-1.27357278,-1.9228781,-1.04408882,-2.55802016,-2.38144347,0,0,-1.83371065,-1.33458591,-3.42566722,-0.69776,0.88879973,-1.60855383,-1.63370901,-1.21397302,0.61546699,-1.09906835,0,0.45579937,0
ENSG00000180628,2.00062238,1.2490231,0.81307902,-0.11154937,-1.27108085,-1.91188064,-0.03752931,0.42378236,-0.24190265,-0.09049159,-0.35044183,-0.33124545,1.18389829,0.800752,1.14153541,1.10747444,0.69167897,0,0.62645084,0.06996341,0.42878263,-0.08602718,-1.24434194,-1.60855383,0.43097703,0.33101951,0.26014057,0.34728517,1,0.45579937,0
ENSG00000278599,0,0,0,0,0,0,-0.06492073,-2.92495422,-0.24190265,-0.25214624,-0.81938411,-1.11545011,-1.99984541,-1.79565638,-1.65609689,-2.54652295,0,0,0.01739494,0.00510782,0.01973584,0.01128647,-0.00355435,0.02885296,0.03080062,0.02908363,0.00710898,0.02631501,0,-0.00653867,0
